show,episode,intro_end_sec,credits_start_sec
show1,downton-abbey-season-1-episode-02,52,2938
show1,downton-abbey-season-1-episode-03,56,2936
show1,downton-abbey-season-1-episode-04,51,2848
show1,downton-abbey-season-1-episode-05,54,2943
show1,downton-abbey-season-1-episode-06,59,2881
show1,downton-abbey-season-1-episode-07,56,3882
show2,Mad.Men.S01E01.720p.BluRay.2CH.x264-PSA,50,2880
show2,Mad.Men.S01E02.720p.BluRay.2CH.x264-PSA,39,2778
show2,Mad.Men.S01E03.720p.BluRay.2CH.x264-PSA,37,2612
show2,Mad.Men.S01E04.720p.BluRay.2CH.x264-PSA,42,2666
show2,Mad.Men.S01E05.720p.BluRay.2CH.x264-PSA,40,2838
show2,Mad.Men.S01E06.720p.BluRay.2CH.x264-PSA,41,2772
show2,Mad.Men.S01E07.720p.BluRay.2CH.x264-PSA,34,2777
show2,Mad.Men.S01E08.720p.BluRay.2CH.x264-PSA,40,2837
show2,Mad.Men.S01E09.720p.BluRay.2CH.x264-PSA,36,2807
show2,Mad.Men.S01E10.720p.BluRay.2CH.x264-PSA,35,2832
show2,Mad.Men.S01E11.720p.BluRay.2CH.x264-PSA,41,2835
show2,Mad.Men.S01E12.720p.BluRay.2CH.x264-PSA,40,2826
show2,Mad.Men.S01E13.720p.BluRay.2CH.x264-PSA,34,3067
